,orig_zone,dest_zone,orig_node_index,dest_node_index,person_id,origin_arrival_time,dest_arrival_time,dest_expected_arrival_time,value_of_time,start_time,Activity_Time,hh_id,hh_vehicle_id,shared_ride_flag,pickup_trip_flag,transit_utility,car_utility,orig_traveler,dest_traveler,intrasuperzone_flag,seg_index,veh_seg_index
2,2,4,2,7,3751964,776.0,779.2,779.2,0.032,776.0,197.79999999999995,1113661.0,0.0,0,1,150.0,3.2,3751964,3751964,0,0,1113661.0_0_0.0
4,4,1,3,8,3751964,977.0,977.9,977.9,0.032,977.0,211.10000000000002,1113661.0,0.0,0,1,150.0,0.9,3751964,3751964,0,0,1113661.0_0_0.0
6,1,5,4,9,3751964,1189.0,1190.8,1190.8,0.032,1189.0,61.200000000000045,1113661.0,0.0,0,1,150.0,1.8,3751964,3751964,0,0,1113661.0_0_0.0
8,5,4,5,10,3751964,1252.0,1254.3,1254.3,0.032,1252.0,185.70000000000005,1113661.0,0.0,0,1,150.0,2.3,3751964,3751964,0,0,1113661.0_0_0.0
0,3,18,1,6,8390901,15.0,20.5,20.5,0.7378,15.0,620.5,2566352.0,0.0,0,1,150.0,5.5,8390901,8390901,0,0,2566352.0_0_0.0
2,18,20,2,7,8390901,641.0,641.5,641.5,0.7378,641.0,13.5,2566352.0,0.0,0,1,150.0,0.5,8390901,8390901,0,0,2566352.0_0_0.0
4,20,18,3,8,8390901,655.0,659.4,659.4,0.7378,655.0,117.60000000000002,2566352.0,0.0,0,1,150.0,4.4,8390901,8390901,0,0,2566352.0_0_0.0
6,18,6,4,9,8390901,777.0,782.5,782.5,0.7378,777.0,11.5,2566352.0,0.0,0,1,150.0,5.5,8390901,8390901,0,0,2566352.0_0_0.0
8,6,3,5,10,8390901,794.0,799.4,799.4,0.7378,794.0,640.6,2566352.0,0.0,0,1,150.0,5.4,8390901,8390901,0,0,2566352.0_0_0.0
0,6,18,1,9,8918155,15.0,19.7,19.7,0.2424,15.0,157.3,2980369.0,0.0,0,1,150.0,4.7,8918155,8918155,0,0,2980369.0_0_0.0
2,18,14,2,10,8918155,177.0,186.6,186.6,0.2424,177.0,413.4,2980369.0,0.0,0,1,150.0,9.6,8918155,8918155,0,0,2980369.0_0_0.0
4,14,17,3,11,8918155,600.0,604.8,604.8,0.2424,600.0,47.200000000000045,2980369.0,0.0,0,1,150.0,4.8,8918155,8918155,0,0,2980369.0_0_0.0
6,17,6,4,12,8918155,652.0,655.2,655.2,0.2424,652.0,107.79999999999995,2980369.0,0.0,0,1,150.0,3.2,8918155,8918155,0,0,2980369.0_0_0.0
8,6,15,5,13,8918155,763.0,766.0,766.0,0.2424,763.0,117.0,2980369.0,0.0,0,1,150.0,3.0,8918155,8918155,0,0,2980369.0_0_0.0
10,15,5,6,14,8918155,883.0,887.2,887.2,0.2424,883.0,29.799999999999955,2980369.0,0.0,0,1,150.0,4.2,8918155,8918155,0,0,2980369.0_0_0.0
12,5,18,7,15,8918155,917.0,923.1,923.1,0.2424,917.0,25.899999999999977,2980369.0,0.0,0,1,150.0,6.1,8918155,8918155,0,0,2980369.0_0_0.0
14,18,6,8,16,8918155,949.0,953.9,953.9,0.2424,949.0,486.1,2980369.0,0.0,0,1,150.0,4.9,8918155,8918155,0,0,2980369.0_0_0.0
0,1,1,1,9,533382,16.0,16.3,16.3,0.0816,16.0,69.7,241400.0,0.0,0,1,150.0,0.3,533382,533382,0,0,241400.0_0_0.0
2,1,5,2,10,533382,86.0,87.6,87.6,0.0816,86.0,94.4,241400.0,0.0,0,1,150.0,1.6,533382,533382,0,1,241400.0_1_0.0
4,5,17,3,11,533382,182.0,185.4,185.4,0.0816,182.0,71.6,241400.0,0.0,0,1,150.0,3.4,533382,533382,0,1,241400.0_1_0.0
6,17,5,4,12,533382,257.0,261.3,261.3,0.0816,257.0,411.7,241400.0,0.0,0,1,150.0,4.3,533382,533382,0,1,241400.0_1_0.0
8,5,1,5,13,533382,673.0,676.6,676.6,0.0816,673.0,55.39999999999998,241400.0,0.0,0,1,150.0,3.6,533382,533382,0,1,241400.0_1_0.0
10,1,3,6,14,533382,732.0,734.0,734.0,0.0816,732.0,63.0,241400.0,0.0,0,1,150.0,2.0,533382,533382,0,1,241400.0_1_0.0
12,3,5,7,15,533382,797.0,798.5,798.5,0.0816,797.0,629.5,241400.0,0.0,0,1,150.0,1.5,533382,533382,0,1,241400.0_1_0.0
14,5,1,8,16,533382,1428.0,1433.2,1433.2,0.0816,1428.0,6.7999999999999545,241400.0,0.0,0,1,150.0,5.2,533382,533382,0,1,241400.0_1_0.0
0,16,1,1,11,10001214,17.0,24.7,24.7,0.1563,17.0,235.3,3467877.0,0.0,0,1,150.0,7.7,10001214,10001214,0,0,3467877.0_0_0.0
1,1,16,11,2,0,24.7,260.0,260.0,0.01,260.0,0.0,3467877.0,0.0,0,0,0.0,5.7,10001214,10001212,0,1,3467877.0_1_0.0
2,16,16,2,12,10001212,260.0,261.4,261.4,0.1563,260.0,67.60000000000002,3467877.0,0.0,0,1,150.0,1.4,10001212,10001212,0,2,3467877.0_2_0.0
4,16,18,3,13,10001212,329.0,332.0,332.0,0.1563,329.0,32.0,3467877.0,0.0,0,1,150.0,3.0,10001212,10001212,0,3,3467877.0_3_0.0
5,18,16,13,4,0,332.0,364.0,364.0,0.01,364.0,0.0,3467877.0,0.0,0,0,0.0,4.0,10001212,10001213,0,4,3467877.0_4_0.0
6,16,16,4,14,10001213,364.0,365.7,365.7,0.1563,364.0,216.3,3467877.0,0.0,0,1,150.0,1.7,10001213,10001213,0,5,3467877.0_5_0.0
7,16,1,14,5,0,365.7,582.0,582.0,0.01,582.0,0.0,3467877.0,0.0,0,0,0.0,7.6,10001213,10001214,0,6,3467877.0_6_0.0
8,1,7,5,15,10001214,582.0,586.0,586.0,0.1563,582.0,82.0,3467877.0,0.0,0,1,150.0,4.0,10001214,10001214,0,7,3467877.0_7_0.0
10,7,16,6,16,10001214,668.0,675.5,675.5,0.1563,668.0,165.5,3467877.0,0.0,0,1,150.0,7.5,10001214,10001214,0,7,3467877.0_7_0.0
11,16,18,16,7,0,675.5,841.0,841.0,0.01,841.0,0.0,3467877.0,0.0,0,0,0.0,3.5,10001214,10001212,0,8,3467877.0_8_0.0
12,18,19,7,17,10001212,841.0,844.0,844.0,0.1563,841.0,10.0,3467877.0,0.0,0,1,150.0,3.0,10001212,10001212,0,9,3467877.0_9_0.0
14,19,16,8,18,10001212,854.0,857.3,857.3,0.1563,854.0,31.700000000000045,3467877.0,0.0,0,1,150.0,3.3,10001212,10001212,0,9,3467877.0_9_0.0
15,16,16,18,9,0,857.3,889.0,889.0,0.01,889.0,0.0,3467877.0,0.0,0,0,0.0,1.6,10001212,10001213,0,10,3467877.0_10_0.0
16,16,18,9,19,10001213,889.0,892.8,892.8,0.1563,889.0,277.20000000000005,3467877.0,0.0,0,1,150.0,3.8,10001213,10001213,0,11,3467877.0_11_0.0
18,18,16,10,20,10001213,1170.0,1173.7,1173.7,0.1563,1170.0,266.29999999999995,3467877.0,0.0,0,1,150.0,3.7,10001213,10001213,0,11,3467877.0_11_0.0
0,19,18,1,9,6351748,18.0,20.8,20.8,0.064,18.0,156.2,1845573.0,0.0,0,1,150.0,2.8,6351748,6351748,0,0,1845573.0_0_0.0
2,18,9,3,11,6351748,168.6,173.5,183.9,0.064,179.0,141.1,1845573.0,0.0,0,1,150.0,4.9,6351748,6351748,0,0,1845573.0_0_0.0
3,9,19,11,2,0,173.5,177.0,177.0,0.01,325.0,0.0,1845573.0,0.0,0,0,0.0,3.5,6351748,6351749,0,1,1845573.0_1_0.0
4,19,5,2,10,6351749,177.0,181.5,181.5,0.064,177.0,0.0,1845573.0,0.0,0,1,150.0,4.5,6351749,6351749,0,2,1845573.0_2_0.0
5,5,9,10,4,0,181.5,325.0,325.0,0.01,179.0,0.0,1845573.0,0.0,0,0,0.0,2.9,6351749,6351748,0,3,1845573.0_3_0.0
