  57 TAZ
 144 NTI
  1 1.00    0.00    11.5   7.962
  1 1.00    0.00    11.4   7.962
  1 1.00    0.00    11.5   8.059
  1 1.00    0.00    11.4   8.059
  1 1.00    0.00    11.1   7.962
  1 1.00    0.00    11.0   7.962
  1 1.00    0.00    10.7   7.962
  1 1.00    0.00    10.8   7.962
  1 1.00    0.00    10.7   7.962
  1 1.00    0.00    10.7   7.962
  1 1.00    0.00    10.6   7.962
  1 1.00    0.00    10.7   7.962
  1 1.00    0.00    10.6   7.962
  1 1.00    0.00    10.6   7.962
  1 1.00    0.00    10.5   7.962
  1 1.00    0.00    10.7   7.962
  1 1.00    0.00    10.5   7.962
  1 1.00    0.00    10.4   7.962
  1 1.00    0.00    10.4   7.962
  1 1.00    0.00    10.4   7.962
  1 1.00    0.00    10.4   7.962
  1 1.00    0.00    10.2   7.679
  1 1.00    0.00    10.3   7.962
  1 1.00    0.00    10.3   7.962
  1 1.00    0.00    10.2   7.918
  1 1.00    0.00     9.8   7.679
  1 1.00    0.00     9.9   7.918
  1 1.00    0.00     9.5   7.679
  1 1.00    0.00     9.6   7.588
  1 1.00    0.00     9.2   7.349
  1 1.00    0.00     9.6   7.679
  1 1.00    0.00     9.4   7.679
  1 1.00    0.00     9.5   7.588
  1 1.00    0.00     9.2   7.349
  1 1.00    0.00     9.2   7.349
  1 1.00    0.00     9.2   7.349
  1 1.00    0.00     9.4   7.679
  1 1.00    0.00     9.5   7.588
  1 1.00    0.00     9.2   7.349
  1 1.00    0.00     9.4   7.679
  1 1.00    0.00     9.2   7.349
  1 1.00    0.00     9.2   7.349
  1 1.00    0.00     9.2   7.349
  1 1.00    0.00     9.6   7.679
