hh_id,tour_id,stop_id,inbound,tour_purpose,orig_purpose,dest_purpose,orig_maz,orig_walk_segment,orig_park_maz,dest_maz,dest_walk_segment,parking_taz,stop_period,trip_mode,num_participants,tour_mode,tour_category,board_tap,alight_tap,orig_taz,dest_taz,orig_park_taz,dest_park_taz,driver,TripStartTime,TripActivityTime
241399,0,-1,1,maintenance,maintenance,Home,7,0,0,1,0,0,7,3,2,3,JOINT_NON_MANDATORY,0,0,2,1,0,0,1,286,33
1265673,0,-1,0,maintenance,Home,maintenance,1,0,0,71,0,0,35,5,3,5,JOINT_NON_MANDATORY,0,0,1,18,0,0,3,1136,50
1265673,0,-1,1,maintenance,maintenance,Home,71,0,0,1,0,0,37,5,3,5,JOINT_NON_MANDATORY,0,0,18,1,0,0,3,1194,238
1972423,0,-1,0,discretionary,Home,discretionary,1,0,0,47,0,0,28,3,2,3,JOINT_NON_MANDATORY,0,0,1,12,0,0,1,921,74
1972423,0,-1,1,discretionary,discretionary,Home,47,0,0,1,0,0,31,3,2,3,JOINT_NON_MANDATORY,0,0,12,1,0,0,1,1005,423
1437035,0,-1,0,maintenance,Home,maintenance,1,0,0,45,0,0,27,5,4,5,JOINT_NON_MANDATORY,0,0,1,12,0,0,1,886,35
1437035,0,-1,1,maintenance,maintenance,Home,45,0,0,1,0,0,29,5,4,5,JOINT_NON_MANDATORY,0,0,12,1,0,0,1,930,24
1437035,1,-1,0,eatingout,Home,eatingout,1,0,0,2,0,0,30,5,4,5,JOINT_NON_MANDATORY,0,0,1,1,0,0,2,965,60
1437035,1,-1,1,eatingout,eatingout,Home,2,0,0,1,0,0,32,5,4,5,JOINT_NON_MANDATORY,0,0,1,1,0,0,2,1026,413
2285450,0,-1,0,shop,Home,shop,1,0,0,1,0,0,28,5,6,5,JOINT_NON_MANDATORY,0,0,1,1,0,0,1,911,58
2285450,0,-1,1,shop,shop,Home,1,0,0,1,0,0,30,5,6,5,JOINT_NON_MANDATORY,0,0,1,1,0,0,1,970,469
2285450,1,-1,0,discretionary,Home,discretionary,1,0,0,1,0,0,26,5,6,5,JOINT_NON_MANDATORY,0,0,1,1,0,0,1,845,54
2285450,1,-1,1,discretionary,discretionary,Home,1,0,0,1,0,0,27,5,6,5,JOINT_NON_MANDATORY,0,0,1,1,0,0,1,900,10
1737989,0,-1,0,discretionary,Home,discretionary,1,0,0,71,0,0,26,5,2,5,JOINT_NON_MANDATORY,0,0,1,18,0,0,2,868,333
1737989,0,-1,1,discretionary,discretionary,Home,71,0,0,1,0,0,38,5,2,5,JOINT_NON_MANDATORY,0,0,18,1,0,0,2,1213,219
831166,0,-1,0,discretionary,Home,discretionary,1,0,0,7,0,0,22,7,4,7,JOINT_NON_MANDATORY,0,0,1,2,0,0,-1,745,101
