hh_id,tour_id,tour_category,tour_purpose,tour_composition,tour_participants,orig_maz,orig_walk_segment,dest_maz,dest_walk_segment,depart_period,arrive_period,tour_mode,num_ob_stops,num_ib_stops,driver,util_1,util_2,util_3,util_4,util_5,util_6,util_7,util_8,util_9,util_10,util_11,util_12,util_13,util_14,util_15,util_16,util_17,util_18,util_19,util_20,util_21,util_22,util_23,util_24,util_25,util_26,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16,prob_17,prob_18,prob_19,prob_20,prob_21,prob_22,prob_23,prob_24,prob_25,prob_26
3155481,1,JOINT_NON_MANDATORY,visiting,1,1 2,19,0,28,0,18,24,3,1,1,1,-1998.342529,-999.000000,-2.541631,-999.000000,-4.372780,-999.000000,-3.706825,-5.809014,-999.000000,-999.000000,-999.000000,-999.000000,-8.776100,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.677602,0.000000,0.088584,0.000000,0.211964,0.020505,0.000000,0.000000,0.000000,0.000000,0.001345,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1486518,0,JOINT_NON_MANDATORY,discretionary,2,3 4,19,0,7,0,33,35,7,1,1,-1,-1998.161011,-999.000000,-1000.846375,-999.000000,-1000.791931,-999.000000,-3.367901,-5.286829,-999.000000,-999.000000,-999.000000,-999.000000,-7.330800,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.878885,0.104221,0.000000,0.000000,0.000000,0.000000,0.016894,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3246936,0,JOINT_NON_MANDATORY,shop,1,1 2,19,0,75,0,10,12,3,1,1,2,-1999.045654,-999.000000,-3.121840,-999.000000,-5.678338,-999.000000,-999.000000,-7.607803,-999.000000,-7.928248,-11.185990,-9.327224,-9.034200,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.925158,0.000000,0.054023,0.000000,0.000000,0.010482,0.000000,0.007528,0.000203,0.000089,0.002518,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1667515,0,JOINT_NON_MANDATORY,discretionary,3,1 2 3 4 5 6,21,0,71,0,30,36,5,1,1,1,-1998.165283,-999.000000,-998.469910,-999.000000,-1.980509,-999.000000,-5.226973,-6.086788,-999.000000,-999.000000,-10.345567,-999.000000,-7.929000,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.000000,0.000000,0.947870,0.000000,0.035702,0.013734,0.000000,0.000000,0.000221,0.000000,0.002474,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1667515,1,JOINT_NON_MANDATORY,discretionary,2,4 5 6,21,0,17,0,12,18,8,1,1,-1,-1998.008667,-999.000000,-998.321472,-999.000000,-1000.835754,-999.000000,-3.089438,-5.314388,-999.000000,-999.000000,-999.000000,-999.000000,-7.929000,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.915435,0.077264,0.000000,0.000000,0.000000,0.000000,0.007300,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1437161,0,JOINT_NON_MANDATORY,shop,2,3 4,21,0,62,0,26,32,7,1,1,-1,-1998.507202,-999.000000,-1001.434448,-999.000000,-1002.268433,-999.000000,-5.800359,-8.011751,-999.000000,-999.000000,-999.000000,-999.000000,-11.415600,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.917974,0.078655,0.000000,0.000000,0.000000,0.000000,0.003371,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1840120,0,JOINT_NON_MANDATORY,discretionary,1,1 2,21,0,71,0,23,24,3,1,1,1,-1999.178711,-999.000000,-2.630898,-999.000000,-4.408257,-999.000000,-5.855873,-6.715688,-999.000000,-7.020532,-10.611743,-7.928240,-5.523100,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.791150,0.000000,0.109798,0.000000,0.030845,0.011865,0.000000,0.009226,0.000180,0.002490,0.044446,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
583551,0,JOINT_NON_MANDATORY,discretionary,1,1 2,21,0,7,0,28,37,3,1,1,2,-1998.338745,-999.000000,-2.595571,-999.000000,-4.414125,-999.000000,-4.266430,-6.380837,-999.000000,-8.551275,-12.414981,-10.332129,-8.809400,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.743983,0.000000,0.098633,0.000000,0.140400,0.013399,0.000000,0.001906,0.000026,0.000146,0.001508,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3044680,0,JOINT_NON_MANDATORY,discretionary,1,1 2,21,0,77,0,25,32,3,1,1,1,-1998.360962,-999.000000,-2.567970,-999.000000,-4.363965,-999.000000,-999.000000,-7.248487,-999.000000,-6.623418,-9.688527,-6.768939,-7.330800,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.846765,0.000000,0.115108,0.000000,0.000000,0.007954,0.000000,0.012359,0.000470,0.010018,0.007325,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3155490,0,JOINT_NON_MANDATORY,shop,1,1 2,21,0,55,0,11,22,3,1,1,1,-1998.836792,-999.000000,-2.957487,-999.000000,-5.533670,-999.000000,-4.884290,-7.216487,-999.000000,-999.000000,-999.000000,-999.000000,-9.206300,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.822818,0.000000,0.047008,0.000000,0.119613,0.008961,0.000000,0.000000,0.000000,0.000000,0.001599,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3155490,1,JOINT_NON_MANDATORY,shop,1,1 2,21,0,20,0,26,28,7,1,1,-1,-1998.669922,-999.000000,-2.808277,-999.000000,-5.392317,-999.000000,-4.160631,-6.927928,-999.000000,-999.000000,-999.000000,-999.000000,-9.206300,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.752357,0.000000,0.042609,0.000000,0.194776,0.008999,0.000000,0.000000,0.000000,0.000000,0.001259,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3155498,0,JOINT_NON_MANDATORY,visiting,1,1 2,21,0,58,0,23,34,3,1,1,1,-1998.739746,-999.000000,-2.820117,-999.000000,-4.598691,-999.000000,-4.353923,-6.095028,-999.000000,-999.000000,-999.000000,-999.000000,-8.776100,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.720475,0.000000,0.099855,0.000000,0.155336,0.022444,0.000000,0.000000,0.000000,0.000000,0.001891,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3307936,0,JOINT_NON_MANDATORY,maintenance,1,1 2,21,0,20,0,10,16,3,1,1,1,-1998.788330,-999.000000,-2.674289,-999.000000,-5.096770,-999.000000,-4.039331,-6.996128,-999.000000,-9.363324,-12.578568,-9.961188,-7.386300,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.744132,0.000000,0.050429,0.000000,0.190577,0.007133,0.000000,0.000845,0.000026,0.000127,0.006731,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3307936,1,JOINT_NON_MANDATORY,discretionary,1,1 2,21,0,18,0,29,33,3,1,1,2,-1998.971802,-999.000000,-2.440299,-999.000000,-4.224898,-999.000000,-2.760355,-5.943288,-999.000000,-999.000000,-999.000000,-999.000000,-7.163100,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.525913,0.000000,0.072403,0.000000,0.385719,0.011229,0.000000,0.000000,0.000000,0.000000,0.004736,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2285573,0,JOINT_NON_MANDATORY,discretionary,1,1 3,21,0,34,0,4,5,3,1,1,3,-1999.083496,-999.000000,-2.015396,-999.000000,-1.942959,-999.000000,-3.692369,-5.490881,-999.000000,-7.662373,-12.561827,-10.137344,-5.523100,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.426346,0.000000,0.462079,0.000000,0.084689,0.011480,0.000000,0.001604,0.000007,0.000045,0.013749,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3281445,0,JOINT_NON_MANDATORY,shop,1,1 2,21,0,55,0,14,16,3,1,1,1,-1998.517944,-999.000000,-3.135156,-999.000000,-5.693257,-999.000000,-5.873190,-8.243520,-999.000000,-999.000000,-999.000000,-999.000000,-10.352500,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.886303,0.000000,0.051662,0.000000,0.057269,0.004113,0.000000,0.000000,0.000000,0.000000,0.000654,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2237398,0,JOINT_NON_MANDATORY,maintenance,3,1 2 4 5,21,0,17,0,34,36,5,1,1,5,-1998.234863,-999.000000,-997.677063,-999.000000,-2.545984,-999.000000,-3.736687,-6.539728,-999.000000,-999.000000,-999.000000,-999.000000,-7.785700,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.000000,0.000000,0.756755,0.000000,0.229062,0.010171,0.000000,0.000000,0.000000,0.000000,0.004012,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1486555,0,JOINT_NON_MANDATORY,discretionary,3,1 2 3 4,21,0,7,0,6,7,5,1,1,1,-1998.072632,-999.000000,-998.382568,-999.000000,-1.895568,-999.000000,-3.377730,-5.492137,-999.000000,-999.000000,-11.375167,-999.000000,-7.929000,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.000000,0.000000,0.800615,0.000000,0.180207,0.017197,0.000000,0.000000,0.000061,0.000000,0.001919,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1486555,1,JOINT_NON_MANDATORY,eatingout,3,1 2 4,21,0,55,0,8,10,5,1,1,1,-1998.154541,-999.000000,-998.456787,-999.000000,-1.579699,-999.000000,-4.841577,-6.267749,-999.000000,-999.000000,-999.000000,-999.000000,-8.330700,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.000000,0.000000,0.955576,0.000000,0.035938,0.007368,0.000000,0.000000,0.000000,0.000000,0.001118,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
