hh_id,tour_id,stop_id,inbound,tour_purpose,orig_purpose,dest_purpose,orig_maz,orig_walk_segment,orig_park_maz,dest_maz,dest_walk_segment,parking_taz,stop_period,trip_mode,num_participants,tour_mode,tour_category,board_tap,alight_tap,orig_taz,dest_taz,orig_park_taz,dest_park_taz,driver
1490098,1,-1,0,shop,Home,shop,67,0,0,62,0,0,28,5,3,5,JOINT_NON_MANDATORY,0,0,17,16,0,0,1
1490098,1,-1,1,shop,shop,Home,62,0,0,67,0,0,29,5,3,5,JOINT_NON_MANDATORY,0,0,16,17,0,0,1
152788,0,-1,0,shop,Home,shop,67,0,0,61,0,0,31,3,2,3,JOINT_NON_MANDATORY,0,0,17,16,0,0,2
152788,0,-1,1,shop,shop,Home,61,0,0,67,0,0,33,3,2,3,JOINT_NON_MANDATORY,0,0,16,17,0,0,2
152788,1,-1,0,discretionary,Home,discretionary,67,0,0,66,0,0,29,3,2,3,JOINT_NON_MANDATORY,0,0,17,17,0,0,2
152788,1,-1,1,discretionary,discretionary,Home,66,0,0,67,0,0,30,3,2,3,JOINT_NON_MANDATORY,0,0,17,17,0,0,2
2212507,0,-1,0,maintenance,Home,maintenance,67,0,0,62,0,0,7,5,4,5,JOINT_NON_MANDATORY,0,0,17,16,0,0,2
2212507,0,-1,1,maintenance,maintenance,Home,62,0,0,67,0,0,8,5,4,5,JOINT_NON_MANDATORY,0,0,16,17,0,0,2
3457381,0,-1,0,shop,Home,shop,67,0,0,20,0,0,11,5,3,5,JOINT_NON_MANDATORY,0,0,17,5,0,0,3
3457381,0,-1,1,shop,shop,Home,20,0,0,67,0,0,16,5,3,5,JOINT_NON_MANDATORY,0,0,5,17,0,0,3
3457381,1,-1,0,shop,Home,shop,67,0,0,67,0,0,26,5,3,5,JOINT_NON_MANDATORY,0,0,17,17,0,0,2
3457381,1,-1,1,shop,shop,Home,67,0,0,67,0,0,28,5,3,5,JOINT_NON_MANDATORY,0,0,17,17,0,0,2
2104686,0,-1,0,discretionary,Home,discretionary,67,0,0,43,0,0,35,3,2,3,JOINT_NON_MANDATORY,0,0,17,11,0,0,2
2104686,0,-1,1,discretionary,discretionary,Home,43,0,0,67,0,0,39,3,2,3,JOINT_NON_MANDATORY,0,0,11,17,0,0,2
2212508,0,-1,0,discretionary,Home,discretionary,67,0,0,71,0,0,32,3,2,3,JOINT_NON_MANDATORY,0,0,17,18,0,0,4
2212508,0,-1,1,discretionary,discretionary,Home,71,0,0,67,0,0,34,3,2,3,JOINT_NON_MANDATORY,0,0,18,17,0,0,4
2104656,0,-1,0,maintenance,Home,maintenance,67,0,0,62,0,0,27,5,3,5,JOINT_NON_MANDATORY,0,0,17,16,0,0,1
2104656,0,-1,1,maintenance,maintenance,Home,62,0,0,67,0,0,27,5,3,5,JOINT_NON_MANDATORY,0,0,16,17,0,0,1
2104662,0,-1,0,maintenance,Home,maintenance,67,0,0,47,0,0,11,5,4,5,JOINT_NON_MANDATORY,0,0,17,12,0,0,2
2104662,0,-1,1,maintenance,maintenance,Home,47,0,0,67,0,0,16,5,4,5,JOINT_NON_MANDATORY,0,0,12,17,0,0,2
831956,0,-1,0,visiting,Home,visiting,67,0,0,21,0,0,1,7,4,7,JOINT_NON_MANDATORY,0,0,17,6,0,0,-1
831956,0,-1,1,visiting,visiting,Home,21,0,0,67,0,0,6,7,4,7,JOINT_NON_MANDATORY,0,0,6,17,0,0,-1
2104728,0,-1,0,discretionary,Home,discretionary,67,0,0,66,0,0,10,5,3,5,JOINT_NON_MANDATORY,0,0,17,17,0,0,1
2104728,0,-1,1,discretionary,discretionary,Home,66,0,0,67,0,0,24,5,3,5,JOINT_NON_MANDATORY,0,0,17,17,0,0,1
725285,0,-1,0,shop,Home,shop,67,0,0,20,0,0,25,3,2,3,JOINT_NON_MANDATORY,0,0,17,5,0,0,1
725285,0,-1,1,shop,shop,Home,20,0,0,67,0,0,31,3,2,3,JOINT_NON_MANDATORY,0,0,5,17,0,0,1
725285,1,-1,0,shop,Home,shop,67,0,0,1,0,0,23,3,2,3,JOINT_NON_MANDATORY,0,0,17,1,0,0,1
725285,1,-1,1,shop,shop,Home,1,0,0,67,0,0,24,3,2,3,JOINT_NON_MANDATORY,0,0,1,17,0,0,1
409865,0,-1,0,discretionary,Home,discretionary,67,0,0,34,0,0,11,7,3,7,JOINT_NON_MANDATORY,0,0,17,9,0,0,-1
409865,0,-1,1,discretionary,discretionary,Home,34,0,0,67,0,0,22,7,3,7,JOINT_NON_MANDATORY,0,0,9,17,0,0,-1
2104658,0,-1,0,discretionary,Home,discretionary,67,0,0,71,0,0,29,5,4,5,JOINT_NON_MANDATORY,0,0,17,18,0,0,2
2104658,0,-1,1,discretionary,discretionary,Home,71,0,0,67,0,0,35,5,4,5,JOINT_NON_MANDATORY,0,0,18,17,0,0,2
2104655,0,-1,0,discretionary,Home,discretionary,67,0,0,67,0,0,6,5,4,5,JOINT_NON_MANDATORY,0,0,17,17,0,0,1
2104655,0,-1,1,discretionary,discretionary,Home,67,0,0,67,0,0,7,5,4,5,JOINT_NON_MANDATORY,0,0,17,17,0,0,1
1630922,0,-1,0,discretionary,Home,discretionary,67,0,0,71,0,0,3,7,5,7,JOINT_NON_MANDATORY,0,0,17,18,0,0,-1
1630922,0,-1,1,discretionary,discretionary,Home,71,0,0,67,0,0,5,7,5,7,JOINT_NON_MANDATORY,0,0,18,17,0,0,-1
1043668,0,-1,0,discretionary,Home,discretionary,67,0,0,69,0,0,21,3,2,3,JOINT_NON_MANDATORY,0,0,17,18,0,0,2
1043668,0,-1,1,discretionary,discretionary,Home,69,0,0,67,0,0,28,3,2,3,JOINT_NON_MANDATORY,0,0,18,17,0,0,2
2104683,0,-1,0,discretionary,Home,discretionary,67,0,0,66,0,0,29,5,3,5,JOINT_NON_MANDATORY,0,0,17,17,0,0,1
2104683,0,-1,1,discretionary,discretionary,Home,66,0,0,67,0,0,31,5,3,5,JOINT_NON_MANDATORY,0,0,17,17,0,0,1
2177077,0,-1,0,maintenance,Home,maintenance,67,0,0,20,0,0,14,13,3,13,JOINT_NON_MANDATORY,0,0,17,5,0,0,-1
2177077,0,-1,1,maintenance,maintenance,Home,20,0,0,67,0,0,16,13,3,13,JOINT_NON_MANDATORY,0,0,5,17,0,0,-1
1945260,0,-1,0,maintenance,Home,maintenance,67,0,0,80,0,0,16,3,2,3,JOINT_NON_MANDATORY,0,0,17,20,0,0,2
1945260,0,-1,1,maintenance,maintenance,Home,80,0,0,67,0,0,20,3,2,3,JOINT_NON_MANDATORY,0,0,20,17,0,0,2
1945260,1,-1,0,visiting,Home,visiting,67,0,0,78,0,0,5,3,2,3,JOINT_NON_MANDATORY,0,0,17,20,0,0,2
1945260,1,-1,1,visiting,visiting,Home,78,0,0,67,0,0,6,3,2,3,JOINT_NON_MANDATORY,0,0,20,17,0,0,2
1490074,0,-1,0,maintenance,Home,maintenance,67,0,0,55,0,0,26,8,2,8,JOINT_NON_MANDATORY,0,0,17,14,0,0,-1
1490074,0,-1,1,maintenance,maintenance,Home,55,0,0,67,0,0,29,8,2,8,JOINT_NON_MANDATORY,0,0,14,17,0,0,-1
1490074,1,-1,0,discretionary,Home,discretionary,67,0,0,71,0,0,30,5,3,5,JOINT_NON_MANDATORY,0,0,17,18,0,0,2
1490074,1,-1,1,discretionary,discretionary,Home,71,0,0,67,0,0,36,5,3,5,JOINT_NON_MANDATORY,0,0,18,17,0,0,2
409868,0,-1,0,maintenance,Home,maintenance,67,0,0,66,0,0,30,5,4,5,JOINT_NON_MANDATORY,0,0,17,17,0,0,3
409868,0,-1,1,maintenance,maintenance,Home,66,0,0,67,0,0,30,5,4,5,JOINT_NON_MANDATORY,0,0,17,17,0,0,3
647129,0,-1,0,visiting,Home,visiting,67,0,0,77,0,0,5,3,2,3,JOINT_NON_MANDATORY,0,0,17,20,0,0,1
647129,0,-1,1,visiting,visiting,Home,77,0,0,67,0,0,7,3,2,3,JOINT_NON_MANDATORY,0,0,20,17,0,0,1
2177078,0,-1,0,visiting,Home,visiting,67,0,0,67,0,0,31,5,3,5,JOINT_NON_MANDATORY,0,0,17,17,0,0,2
2177078,0,-1,1,visiting,visiting,Home,67,0,0,67,0,0,37,5,3,5,JOINT_NON_MANDATORY,0,0,17,17,0,0,2
3409733,0,-1,0,maintenance,Home,maintenance,67,0,0,20,0,0,29,5,3,5,JOINT_NON_MANDATORY,0,0,17,5,0,0,3
3409733,0,-1,1,maintenance,maintenance,Home,20,0,0,67,0,0,39,5,3,5,JOINT_NON_MANDATORY,0,0,5,17,0,0,3
3157156,0,-1,0,discretionary,Home,discretionary,67,0,0,65,0,0,9,3,2,3,JOINT_NON_MANDATORY,0,0,17,17,0,0,1
3157156,0,-1,1,discretionary,discretionary,Home,65,0,0,67,0,0,26,3,2,3,JOINT_NON_MANDATORY,0,0,17,17,0,0,1
3157156,1,-1,0,discretionary,Home,discretionary,67,0,0,50,0,0,30,3,2,3,JOINT_NON_MANDATORY,0,0,17,13,0,0,2
3157156,1,-1,1,discretionary,discretionary,Home,50,0,0,67,0,0,35,3,2,3,JOINT_NON_MANDATORY,0,0,13,17,0,0,2
74255,0,-1,0,maintenance,Home,maintenance,67,0,0,73,0,0,5,3,2,3,JOINT_NON_MANDATORY,0,0,17,19,0,0,1
74255,0,-1,1,maintenance,maintenance,Home,73,0,0,67,0,0,7,3,2,3,JOINT_NON_MANDATORY,0,0,19,17,0,0,1
1257292,0,-1,0,maintenance,Home,maintenance,67,0,0,62,0,0,28,5,2,5,JOINT_NON_MANDATORY,0,0,17,16,0,0,1
1257292,0,-1,1,maintenance,maintenance,Home,62,0,0,67,0,0,29,5,2,5,JOINT_NON_MANDATORY,0,0,16,17,0,0,1
1257292,1,-1,0,eatingout,Home,eatingout,67,0,0,33,0,0,30,3,2,3,JOINT_NON_MANDATORY,0,0,17,9,0,0,1
1257292,1,-1,1,eatingout,eatingout,Home,33,0,0,67,0,0,34,3,2,3,JOINT_NON_MANDATORY,0,0,9,17,0,0,1
972941,0,-1,0,shop,Home,shop,67,0,0,78,0,0,24,7,2,7,JOINT_NON_MANDATORY,0,0,17,20,0,0,-1
972941,0,-1,1,shop,shop,Home,78,0,0,67,0,0,28,7,2,7,JOINT_NON_MANDATORY,0,0,20,17,0,0,-1
2238662,0,-1,0,visiting,Home,visiting,67,0,0,61,0,0,30,7,4,7,JOINT_NON_MANDATORY,0,0,17,16,0,0,-1
2238662,0,-1,1,visiting,visiting,Home,61,0,0,67,0,0,35,7,4,7,JOINT_NON_MANDATORY,0,0,16,17,0,0,-1
2177080,0,-1,0,eatingout,Home,eatingout,67,0,0,47,0,0,26,3,2,3,JOINT_NON_MANDATORY,0,0,17,12,0,0,3
2177080,0,-1,1,eatingout,eatingout,Home,47,0,0,67,0,0,30,3,2,3,JOINT_NON_MANDATORY,0,0,12,17,0,0,3
1313065,0,-1,0,discretionary,Home,discretionary,67,0,0,16,0,0,26,3,2,3,JOINT_NON_MANDATORY,0,0,17,4,0,0,1
1313065,0,-1,1,discretionary,discretionary,Home,16,0,0,67,0,0,32,3,2,3,JOINT_NON_MANDATORY,0,0,4,17,0,0,1
1844889,0,-1,0,visiting,Home,visiting,67,0,0,77,0,0,30,3,2,3,JOINT_NON_MANDATORY,0,0,17,20,0,0,2
1844889,0,-1,1,visiting,visiting,Home,77,0,0,67,0,0,39,3,2,3,JOINT_NON_MANDATORY,0,0,20,17,0,0,2
2177067,0,-1,0,shop,Home,shop,67,0,0,14,0,0,29,5,2,5,JOINT_NON_MANDATORY,0,0,17,4,0,0,2
2177067,0,-1,1,shop,shop,Home,14,0,0,67,0,0,29,5,2,5,JOINT_NON_MANDATORY,0,0,4,17,0,0,2
3308659,0,-1,0,discretionary,Home,discretionary,67,0,0,77,0,0,19,3,2,3,JOINT_NON_MANDATORY,0,0,17,20,0,0,1
3308659,0,-1,1,discretionary,discretionary,Home,77,0,0,67,0,0,22,3,2,3,JOINT_NON_MANDATORY,0,0,20,17,0,0,1
1739403,0,-1,0,discretionary,Home,discretionary,67,0,0,35,0,0,30,7,2,7,JOINT_NON_MANDATORY,0,0,17,9,0,0,-1
1739403,0,-1,1,discretionary,discretionary,Home,35,0,0,67,0,0,34,7,2,7,JOINT_NON_MANDATORY,0,0,9,17,0,0,-1
2104661,0,-1,0,discretionary,Home,discretionary,67,0,0,57,0,0,13,5,4,5,JOINT_NON_MANDATORY,0,0,17,15,0,0,2
2104661,0,-1,1,discretionary,discretionary,Home,57,0,0,67,0,0,19,5,4,5,JOINT_NON_MANDATORY,0,0,15,17,0,0,2
938511,0,-1,0,discretionary,Home,discretionary,67,0,0,34,0,0,30,5,5,5,JOINT_NON_MANDATORY,0,0,17,9,0,0,1
938511,0,-1,1,discretionary,discretionary,Home,34,0,0,67,0,0,35,5,5,5,JOINT_NON_MANDATORY,0,0,9,17,0,0,1
938511,1,-1,0,discretionary,Home,discretionary,67,0,0,55,0,0,1,5,3,5,JOINT_NON_MANDATORY,0,0,17,14,0,0,1
938511,1,-1,1,discretionary,discretionary,Home,55,0,0,67,0,0,3,5,3,5,JOINT_NON_MANDATORY,0,0,14,17,0,0,1
409870,0,-1,0,discretionary,Home,discretionary,67,0,0,5,0,0,26,5,3,5,JOINT_NON_MANDATORY,0,0,17,2,0,0,1
