person_id	person_index	trip_index  	tripstarttime 	origmaz    	destmaz	trip_park_ride_flag	otran_maz	dtran_maz	a_time	e_time	tr_time
     8716230	        2886	           1	 163.9	           4	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     8716230	        2886	           2	 853.1	          71	           4	           0	          71	           4	     0.0	     0.0	     0.3
     3752131	       17987	           1	 164.1	          18	          68	           0	           0	           0	     0.0	     0.0	  1440.0
     3752131	       17987	           5	 807.3	          77	           4	           0	          71	           4	     9.7	     0.0	     0.3
     7650416	       14599	           1	 164.1	          14	          70	           0	           0	           0	     0.0	     0.0	  1440.0
     7650416	       14599	           2	 709.6	          70	          14	           0	          71	           4	    18.0	    15.1	     0.3
     8967978	       58056	           1	 164.7	          66	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     7078201	       70024	           1	 167.4	          76	           5	           0	          68	           4	    19.4	    21.1	     0.2
     7078201	       70024	           4	 771.5	           5	          68	           0	           0	           0	     0.0	     0.0	  1440.0
     5583642	       37746	           1	 167.6	          45	          70	           0	           0	           0	     0.0	     0.0	  1440.0
     5583642	       37746	           2	 702.4	          70	          47	           0	          66	          36	    22.4	    27.9	     0.3
     2284900	        3133	           1	 168.6	           4	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     2284900	        3133	           2	 834.8	          71	           4	           0	          68	           4	    12.8	     0.0	     0.4
     6827148	       55582	           1	 170.1	          64	           5	           0	          71	           4	    27.7	    21.1	     0.6
     6827148	       55582	           2	 844.6	           5	          62	           0	           0	           0	     0.0	     0.0	  1440.0
      145321	       23988	           1	 171.1	          27	          71	           0	           4	          71	    48.7	     0.0	     0.4
      145321	       23988	           6	1011.0	          71	          15	           0	           0	           0	     0.0	     0.0	  1440.0
     2619832	       64929	           1	 172.5	          71	           4	           0	          68	           4	    12.8	     0.0	     0.2
     2619832	       64929	           2	 341.6	           4	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     7360212	       35165	           1	 172.8	          41	          70	           0	          45	          66	    38.2	    22.4	     0.6
     7360212	       35165	           2	 729.9	          70	          20	           0	          71	          24	    18.0	    27.5	     0.3
     7656928	       54623	           1	 173.6	          63	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     7656928	       54623	           2	 192.9	          71	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     7656928	       54623	           6	 859.7	          71	          27	           0	          71	          45	     0.0	    48.5	     1.1
     7656928	       54623	           7	 884.1	          27	          71	           0	          45	          71	    48.5	     0.0	     0.2
     2769037	       63040	           1	 174.7	          71	          17	           1	           0	           0	     0.0	     0.0	  1440.0
     2769037	       63040	           4	 900.0	          17	          71	           2	           4	           4	    18.7	     0.0	     0.0
     7924231	       40172	           1	 174.9	          48	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     7924231	       40172	           2	 864.5	          71	          48	           0	          71	          48	     0.0	     0.0	     1.3
     6233128	       31410	           1	 175.6	          37	           4	           1	           0	           0	     0.0	     0.0	  1440.0
     6233128	       31410	           2	 807.5	           4	          37	           2	           0	           0	     0.0	     0.0	  1440.0
     8722581	       73200	           1	 175.9	          79	          68	           0	           0	           0	     0.0	     0.0	  1440.0
     6646348	       67026	           1	 176.2	          73	           5	           0	          68	           4	    19.4	    21.1	     0.6
