hh_id,tour_id,stop_id,inbound,tour_purpose,orig_purpose,dest_purpose,orig_maz,orig_walk_segment,orig_park_maz,dest_maz,dest_walk_segment,parking_taz,stop_period,trip_mode,num_participants,tour_mode,tour_category,board_tap,alight_tap,orig_taz,dest_taz,orig_park_taz,dest_park_taz,driver,SimulatedTravelTime                                             
2105065,0,-1,1,discretionary,discretionary,Home,77,0,0,74,0,0,5,7,3,7,JOINT_NON_MANDATORY,0,0,20,19,0,0,-1,0.00                                       
2105065,1,-1,0,visiting,Home,visiting,74,0,0,76,0,0,22,7,3,7,JOINT_NON_MANDATORY,0,0,19,19,0,0,-1,0.00                                                
2105065,1,-1,1,visiting,visiting,Home,76,0,0,74,0,0,26,7,3,7,JOINT_NON_MANDATORY,0,0,19,19,0,0,-1,0.00                                                
1120561,0,-1,0,discretionary,Home,discretionary,74,0,0,51,0,0,29,3,2,3,JOINT_NON_MANDATORY,0,0,19,13,0,0,2,8.20                                       
1120561,0,-1,1,discretionary,discretionary,Home,51,0,0,74,0,0,33,3,2,3,JOINT_NON_MANDATORY,0,0,13,19,0,0,2,6.50                                       
3308794,0,-1,0,discretionary,Home,discretionary,74,0,0,70,0,0,5,3,2,3,JOINT_NON_MANDATORY,0,0,19,18,0,0,2,2.60                                        
3308794,0,-1,1,discretionary,discretionary,Home,70,0,0,74,0,0,8,3,2,3,JOINT_NON_MANDATORY,0,0,18,19,0,0,2,1.80                                        
3420887,0,-1,0,shop,Home,shop,74,0,0,30,0,0,3,7,3,7,JOINT_NON_MANDATORY,0,0,19,8,0,0,-1,0.00                                                          
3420887,0,-1,1,shop,shop,Home,30,0,0,74,0,0,5,7,3,7,JOINT_NON_MANDATORY,0,0,8,19,0,0,-1,0.00                                                          
712940,0,-1,0,shop,Home,shop,74,0,0,62,0,0,17,3,2,3,JOINT_NON_MANDATORY,0,0,19,16,0,0,2,4.90                                                          
712940,0,-1,1,shop,shop,Home,62,0,0,74,0,0,21,3,2,3,JOINT_NON_MANDATORY,0,0,16,19,0,0,2,6.20                                                          
712940,1,-1,0,shop,Home,shop,74,0,0,30,0,0,28,7,3,7,JOINT_NON_MANDATORY,0,0,19,8,0,0,-1,0.00                                                          
712940,1,-1,1,shop,shop,Home,30,0,0,74,0,0,32,7,3,7,JOINT_NON_MANDATORY,0,0,8,19,0,0,-1,0.00                                                          
1845469,0,-1,0,eatingout,Home,eatingout,74,0,0,33,0,0,31,3,2,3,JOINT_NON_MANDATORY,0,0,19,9,0,0,2,10.00                                               
1845469,0,-1,1,eatingout,eatingout,Home,33,0,0,74,0,0,31,3,2,3,JOINT_NON_MANDATORY,0,0,9,19,0,0,2,6.20                                                
1669322,0,-1,0,discretionary,Home,discretionary,74,0,0,78,0,0,32,5,3,5,JOINT_NON_MANDATORY,0,0,19,20,0,0,1,1.00                                       
1669322,0,-1,1,discretionary,discretionary,Home,78,0,0,74,0,0,39,5,3,5,JOINT_NON_MANDATORY,0,0,20,19,0,0,1,0.90                                       
1669322,1,-1,0,discretionary,Home,discretionary,74,0,0,47,0,0,2,5,3,5,JOINT_NON_MANDATORY,0,0,19,12,0,0,1,4.50                                        
1669322,1,-1,1,discretionary,discretionary,Home,47,0,0,74,0,0,4,5,3,5,JOINT_NON_MANDATORY,0,0,12,19,0,0,1,0.20                                        
1589757,0,-1,0,discretionary,Home,discretionary,74,0,0,41,0,0,29,5,2,5,JOINT_NON_MANDATORY,0,0,19,11,0,0,1,1440.00                                    
1589757,0,-1,1,discretionary,discretionary,Home,41,0,0,74,0,0,34,5,2,5,JOINT_NON_MANDATORY,0,0,11,19,0,0,1,1440.00                                    
2212591,0,-1,0,shop,Home,shop,74,0,0,71,0,0,38,5,5,5,JOINT_NON_MANDATORY,0,0,19,18,0,0,2,2.40                                                         
2212591,0,-1,1,shop,shop,Home,71,0,0,74,0,0,38,5,5,5,JOINT_NON_MANDATORY,0,0,18,19,0,0,2,2.20                                                         
2212591,1,-1,0,shop,Home,shop,74,0,0,55,0,0,1,5,4,5,JOINT_NON_MANDATORY,0,0,19,14,0,0,5,4.50                                                          
2212591,1,-1,1,shop,shop,Home,55,0,0,74,0,0,4,5,4,5,JOINT_NON_MANDATORY,0,0,14,19,0,0,5,4.40                                                          
1845570,0,-1,0,discretionary,Home,discretionary,74,0,0,68,0,0,34,3,2,3,JOINT_NON_MANDATORY,0,0,19,17,0,0,2,3.60                                       
1845570,0,-1,1,discretionary,discretionary,Home,68,0,0,74,0,0,35,3,2,3,JOINT_NON_MANDATORY,0,0,17,19,0,0,2,2.80                                       
2238853,0,-1,0,discretionary,Home,discretionary,74,0,0,69,0,0,31,5,3,5,JOINT_NON_MANDATORY,0,0,19,18,0,0,1,3.50                                       
2238853,0,-1,1,discretionary,discretionary,Home,69,0,0,74,0,0,36,5,3,5,JOINT_NON_MANDATORY,0,0,18,19,0,0,1,2.50                                       
2238853,1,-1,0,discretionary,Home,discretionary,74,0,0,77,0,0,23,7,3,7,JOINT_NON_MANDATORY,0,0,19,20,0,0,-1,0.00                                      
2238853,1,-1,1,discretionary,discretionary,Home,77,0,0,74,0,0,29,7,3,7,JOINT_NON_MANDATORY,0,0,20,19,0,0,-1,0.00                                      
1845473,0,-1,0,shop,Home,shop,74,0,0,71,0,0,30,3,2,3,JOINT_NON_MANDATORY,0,0,19,18,0,0,1,3.50                                                         
1845473,0,-1,1,shop,shop,Home,71,0,0,74,0,0,32,3,2,3,JOINT_NON_MANDATORY,0,0,18,19,0,0,1,2.30                                                         
3359513,0,-1,0,shop,Home,shop,74,0,0,45,0,0,16,3,2,3,JOINT_NON_MANDATORY,0,0,19,12,0,0,1,0.30                                                         
3359513,0,-1,1,shop,shop,Home,45,0,0,74,0,0,17,3,2,3,JOINT_NON_MANDATORY,0,0,12,19,0,0,1,0.20                                                         
3282365,0,-1,0,shop,Home,shop,74,0,0,45,0,0,20,5,2,5,JOINT_NON_MANDATORY,0,0,19,12,0,0,2,0.20                                                         
3282365,0,-1,1,shop,shop,Home,45,0,0,74,0,0,22,3,2,5,JOINT_NON_MANDATORY,0,0,12,19,0,0,2,0.20                                                         
3282365,1,-1,0,discretionary,Home,discretionary,74,0,0,74,0,0,25,7,2,7,JOINT_NON_MANDATORY,0,0,19,19,0,0,-1,0.00                                      
3282365,1,-1,1,discretionary,discretionary,Home,74,0,0,74,0,0,28,7,2,7,JOINT_NON_MANDATORY,0,0,19,19,0,0,-1,0.00                                      
