 Number of persons with inconsistent (negative) activity duration
         932        1766  stress
         936        1776           1  N Atime before
         938        1780          11  N Atime before
         938        1780  stress
         938        1781           6  N Atime before
         938        1781  stress
         941        1786  stress
         941        1787           7  N Atime before
         941        1787  stress
         943        1792           2  N Atime before
         944        1794           2  N Atime before
         947        1799           1  N Atime before
         947        1799  stress
         959        1814           4  N Atime before
         959        1814           6  N Atime before
         963        1823           6  N Atime before
         963        1823  stress
         964        1824           3  N Atime before
         964        1824           4  N Atime before
         964        1824           5  N Atime before
         964        1824  stress
         964        1825          10  N Atime before
         964        1825          11  N Atime before
         964        1825  stress
         967        1828           3  N Atime before
         967        1828  stress
         967        1829          12  N Atime before
         967        1829  stress
         970        1833           3  N Atime before
         974        1839           4  N Atime before
         974        1839  stress
         979        1847          14  N Atime before
         979        1847  stress
         985        1859           1  N Atime before
         985        1859  stress
         988        1864           6  N Atime before
         990        1867           8  N Atime before
         990        1867           9  N Atime before
         990        1867  stress
         990        1868           5  N Atime before
         992        1871           1  N Atime before
         995        1874  stress
        1002        1894           2  N Atime before
        1002        1894           3  N Atime before
        1002        1894           4  N Atime before
        1002        1894  stress
        1011        1912           5  N Atime before
        1011        1913          10  N Atime before
        1011        1913          12  N Atime before
        1011        1913  stress
        1011        1914           6  N Atime before
        1011        1915           3  N Atime before
        1011        1916           3  N Atime before
        1016        1923           2  N Atime before
        1016        1923  stress
        1020        1930           6  N Atime before
        1020        1930           7  N Atime before
        1020        1930           8  N Atime before
        1020        1930          10  N Atime before
        1020        1930          13  N Atime before
        1020        1930          16  N Atime before
        1020        1930          17  N Atime before
        1020        1930  stress
        1020        1931           6  N Atime before
        1020        1931  stress
        1020        1933           5  N Atime before
        1020        1933  stress
        1020        1934           7  N Atime before
        1020        1934  stress
        1023        1943           5  N Atime before
        1023        1943  stress
        1025        1946           5  N Atime before
        1033        1962          11  N Atime before
        1033        1962          12  N Atime before
        1033        1962          14  N Atime before
        1033        1962          15  N Atime before
        1033        1962  stress
        1033        1963           5  N Atime before
        1033        1963           6  N Atime before
        1033        1963  stress
        1036        1967           2  N Atime before
        1036        1967           7  N Atime before
        1036        1967  stress
        1039        1974           5  N Atime before
        1039        1974           7  N Atime before
        1039        1974  stress
        1052        1998  stress
        1056        2008           1  N Atime before
        1056        2008           2  N Atime before
        1056        2008           4  N Atime before
        1056        2008  stress
        1060        2015           6  N Atime before
        1060        2016           4  N Atime before
        1060        2017           3  N Atime before
        1063        2022  stress
        1068        2029           5  N Atime before
        1068        2029  stress
        1068        2031           3  N Atime before
        1069        2033           1  N Atime before
        1070        2036           5  N Atime before
        1075        2048           1  N Atime before
        1075        2048  stress
        1080        2057           4  N Atime before
        1081        2059           3  N Atime before
        1081        2059  stress
        1082        2060           3  N Atime before
        1082        2063           1  N Atime before
        1082        2063           3  N Atime before
        1082        2063  stress
        1084        2066           2  N Atime before
        1086        2067           4  N Atime before
        1086        2067           5  N Atime before
        1086        2067           7  N Atime before
        1086        2067           8  N Atime before
        1086        2067  stress
        1086        2068           5  N Atime before
        1086        2068  stress
        1087        2071           1  N Atime before
        1087        2071           3  N Atime before
        1092        2077           2  N Atime before
        1092        2077  stress
        1096        2084          10  N Atime before
        1096        2085           7  N Atime before
        1096        2085  stress
        1099        2092           5  N Atime before
        1099        2092  stress
        1099        2093           7  N Atime before
        1100        2103  stress
        1103        2111           6  N Atime before
        1103        2111           8  N Atime before
        1103        2111  stress
        1104        2113           8  N Atime before
        1104        2113  stress
        1106        2117           1  N Atime before
        1106        2117  stress
        1109        2123          11  N Atime before
        1109        2124           7  N Atime before
        1110        2127  stress
        1113       75048           1  N Atime before
        1113        2130           5  N Atime before
        1113        2130  stress
        1115        2134  stress
        1117        2141           7  N Atime before
        1117        2141  stress
        1118        2142  stress
        1118        2143  stress
        1119        2144           3  N Atime before
        1119        2144  stress
        1123        2149           3  N Atime before
        1125        2152           3  N Atime before
        1125        2152  stress
        1129        2160           4  N Atime before
        1129        2160  stress
        1130        2163           4  N Atime before
        1131        2166           1  N Atime before
        1131        2166           5  N Atime before
        1131        2166  stress
        1131        2167           1  N Atime before
        1131        2167  stress
        1132        2169           6  N Atime before
        1132        2169           8  N Atime before
        1134        2173           3  N Atime before
        1143        2187           2  N Atime before
        1150        2200  stress
        1153        2205           6  N Atime before
        1153        2205           8  N Atime before
        1153        2205           9  N Atime before
        1153        2205  stress
        1153        2206           3  N Atime before
        1153        2206  stress
        1155        2208           4  N Atime before
        1156        2210           4  N Atime before
        1159        2215           2  N Atime before
        1159        2215  stress
        1161        2219           5  N Atime before
        1161        2219  stress
        1164        2227          10  N Atime before
        1164        2228           5  N Atime before
        1170        2234  stress
        1172        2237           4  N Atime before
        1172        2237  stress
        1174        2240  stress
        1176        2242           5  N Atime before
        1180        2250  stress
        1180        2251           7  N Atime before
        1180        2251           8  N Atime before
        1180        2251           9  N Atime before
        1180        2251  stress
        1189        2264           2  N Atime before
        1191        2278           5  N Atime before
        1191        2278  stress
        1193        2282           7  N Atime before
        1193        2282           8  N Atime before
        1193        2282  stress
        1193        2283           6  N Atime before
        1193        2283           7  N Atime before
        1193        2283  stress
        1193        2284           4  N Atime before
        1193        2287           8  N Atime before
        1193        2287  stress
        1196        2294           2  N Atime before
        1196        2295          15  N Atime before
        1196        2296           5  N Atime before
        1199        2302           3  N Atime before
        1199        2302  stress
        1201        2306           3  N Atime before
        1201        2306  stress
        1202        2309           3  N Atime before
        1203        2311           1  N Atime before
        1204        2313           2  N Atime before
        1204        2313  stress
